Episode,Total_Reward
1459,76.0
1460,142.8
1461,156.8
1462,159.0
1463,63.9
1464,160.0
1465,159.0
1466,157.0
1467,156.8
1468,128.8
1469,120.59999999999998
1470,119.8
1471,84.5
1472,104.7
1473,160.0
1474,151.2
1475,117.80000000000001
1476,137.6
1477,106.9
1478,159.0
1479,139.0
1480,129.8
1481,88.5
1482,159.0
1483,156.8
1484,53.8
1485,128.0
1486,159.0
1487,130.2
1488,133.2
1489,99.99999999999997
1490,150.39999999999998
1491,118.0
1492,130.2
1493,102.4
1494,152.8
1495,84.9
1496,124.2
1497,139.0
1498,102.19999999999999
1499,154.16
1500,132.0
1501,119.5
1502,154.0
1503,96.5
1504,153.7
1505,80.4
1506,156.0
1507,139.3
1508,84.6
1509,153.6
1510,113.19999999999999
1511,160.0
1512,118.5
1513,69.6
1514,109.4
1515,74.5
1516,149.0
1517,131.3
1518,121.0
1519,110.8
1520,113.8
1521,117.0
1522,131.3
1523,99.0
1524,160.0
1525,127.0
1526,135.5
1527,99.0
1528,152.39999999999998
1529,139.0
1530,74.2
1531,139.7
1532,139.39999999999998
1533,142.5
1534,160.0
1535,152.4
1536,139.0
1537,146.0
1538,132.3
1539,125.8
1540,145.2
1541,156.8
1542,131.2
1543,133.8
1544,124.3
1545,118.0
1546,149.0
1547,66.65999999999998
1548,122.5
1549,156.5
1550,123.3
1551,126.0
1552,133.4
1553,119.0
1554,76.0
1555,123.1
1556,116.0
1557,104.5
1558,145.3
1559,133.8
1560,129.4
1561,119.8
1562,82.36
1563,103.86
1564,135.7
1565,156.8
1566,160.0
1567,127.4
1568,137.6
1569,140.8
1570,137.0
1571,125.5
1572,92.79999999999998
1573,138.06
1574,140.0
1575,156.8
1576,157.0
1577,156.8
1578,135.0
1579,128.0
1580,150.16
1581,160.0
1582,140.5
1583,127.86
1584,149.39999999999998
1585,133.5
1586,158.0
1587,125.8
1588,149.16
1589,160.0
1590,116.5
1591,119.6
1592,124.0
1593,126.1
1594,112.3
1595,74.86
1596,121.3
1597,158.0
1598,118.0
1599,157.6
1600,87.7
1601,87.5
1602,121.7
1603,87.8
1604,136.6
1605,140.5
1606,104.0
1607,156.56
1608,129.8
1609,83.0
1610,154.0
1611,143.0
1612,115.2
1613,139.0
1614,126.8
1615,132.3
1616,156.0
1617,150.39999999999998
1618,116.0
1619,146.0
1620,133.9
1621,117.8
1622,155.6
1623,97.80000000000001
1624,100.26
1625,132.6
1626,90.5
1627,94.0
1628,124.8
1629,157.0
1630,129.4
1631,133.0
1632,149.6
1633,157.6
1634,137.0
1635,141.3
1636,156.8
1637,140.0
1638,70.9
1639,159.0
1640,114.30000000000001
1641,157.0
1642,160.0
1643,137.0
1644,134.0
1645,147.8
1646,116.3
1647,160.0
1648,138.2
1649,122.36
1650,145.5
1651,116.0
1652,153.2
1653,93.4
1654,137.0
